dataset,MCM,DRL,Disent,MemPAE-ws-pos-d64-lr0.001-t0.1
arrhythmia,0.6041,0.5469,0.5973,0.6183
breastw,0.992,0.9767,0.9867,0.9844
cardio,0.8076,0.7422,0.8513,0.8238
cardiotocography,0.6271,0.6034,0.691,0.6773
mammography,0.4528,0.526,0.4102,0.4163
glass,0.2336,0.3002,0.1306,0.2874
ionosphere,0.9725,0.9719,0.9588,0.9764
wbc,0.5823,0.7095,0.7461,0.7687
wine,0.7696,0.7602,0.8369,0.7727
pima,0.6288,0.634,0.6726,0.6963
pendigits,0.8164,0.6154,0.7416,0.8642
thyroid,0.7012,0.6884,0.7886,0.7598
shuttle,,,,0.9856
satimage-2,0.7488,0.9207,0.9285,0.9744
satellite,0.869,0.8919,0.7846,
optdigits,0.3284,0.2437,0.111,0.2171
AVG_AUC,0.6756,0.6754,0.6824,0.7215
