dataset,Disent,MCM,DRL,MemPAE-ws-pos-d64-lr0.001-t0.1
arrhythmia,0.6,0.6035,0.5122,0.6173
cardio,0.8482,0.8076,0.6837,0.8111
pima,0.6612,0.6494,0.6543,0.7021
pendigits,0.6474,0.7561,0.44,0.8252
cardiotocography,0.692,0.5541,0.5791,0.6541
mammography,0.4184,0.484,0.5057,0.4216
satimage-2,0.9721,0.5743,0.891,0.9751
breastw,0.9847,0.9885,0.9808,0.9809
glass,0.1161,0.2296,0.2832,0.2637
ionosphere,0.9479,0.9734,0.967,0.9723
wbc,0.7511,0.6207,0.6749,0.7547
wine,0.8154,0.7716,0.7351,0.7727
thyroid,0.7667,0.6822,0.6757,0.7438
optdigits,0.0735,0.294,0.1996,0.2104
shuttle,,,,0.9814
AVG_AUC,0.6639,0.6421,0.6273,0.7124
