,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.0658,0.0424,1.0174,0.9518,0.8951,1.3278,1.0701,1.7022,1.3064,0.8333,9.1042,0.1543,0.0329,0.0384,0.1029,0.2691,0.0178,0.0373,0.0035,0.6562
feature_1,-0.2392,0.1543,1.5966,1.644,1.6899,1.3712,1.5547,1.0998,1.3855,1.7334,12.075,0.0804,0.5054,0.0049,0.0501,0.0787,0.0465,0.0329,0.0339,0.8329
feature_2,-0.0125,0.0081,1.6818,1.742,1.8004,1.3869,1.6295,1.0302,1.4017,1.8584,12.531,0.0063,0.0169,0.0093,0.0606,0.0204,0.7549,0.0183,0.0175,0.9042
feature_3,0.2002,0.1291,0.9152,0.8698,0.8467,1.1501,0.9544,1.3619,1.0969,0.8002,7.9952,0.1669,0.0315,0.02,0.0598,0.0399,0.0242,0.0215,0.0189,0.3827
feature_4,-0.0344,0.0222,2.1181,2.1314,2.1292,2.0505,2.1058,2.0104,2.0806,2.1425,16.7684,0.2564,0.0641,0.0245,0.0565,0.0563,0.01,0.3898,0.0131,0.8709
feature_5,0.1284,0.0828,0.6371,0.5585,0.4756,0.995,0.7081,1.4685,0.995,0.4064,6.2441,0.01,0.0154,0.0059,0.0714,0.0233,0.0234,0.3256,0.0076,0.4826
feature_6,-0.1681,0.1084,0.9222,0.862,0.816,1.2166,0.978,1.5373,1.1806,0.7579,8.2706,0.0896,0.0285,0.01,0.1664,0.0391,0.0124,0.0187,0.0079,0.3726
feature_7,-0.1353,0.0873,0.651,0.6033,0.5595,0.8938,0.6927,1.1673,0.8686,0.5123,5.9484,0.014,0.0377,0.0096,0.0371,0.0832,0.0087,0.0191,0.0611,0.2705
feature_8,0.0551,0.0355,1.2869,1.3235,1.3531,1.1096,1.2544,0.9084,1.1272,1.3885,9.7516,0.0074,0.0745,0.0071,0.2651,0.0728,0.0139,0.0842,0.0969,0.6219
feature_9,0.1204,0.0776,2.141,2.2177,2.2841,1.7686,2.0726,1.3355,1.8007,2.3582,15.9785,0.0228,0.0629,0.8511,0.0176,0.0579,0.0436,0.0098,0.0419,1.1076
feature_10,0.3912,0.2523,1.3137,1.3141,1.3083,1.3069,1.3152,1.3159,1.3172,1.3102,10.5015,0.1668,0.0571,0.0147,0.0648,0.159,0.0382,0.0284,0.0539,0.583
rank_correlation,0.1364,1.0,-0.3455,-0.4091,-0.4091,-0.3364,-0.3818,-0.0273,-0.3273,-0.4091,-0.3818,0.3727,0.0818,-0.1455,-0.1273,0.3182,0.1273,-0.1364,0.2091,-0.5273
cosine_similarity,0.3753,1.0,0.7058,0.6937,0.6831,0.752,0.7161,0.7697,0.7475,0.6704,0.7261,0.6809,0.5818,0.2446,0.5572,0.6813,0.1229,0.3077,0.6702,0.6903
